# Density(g/cm^3) Pressure(dyn/cm^2) cs2
1.103934e+13 2.270238e+31 nan
1.110518e+13 2.287931e+31 nan
1.117141e+13 2.305765e+31 nan
1.123804e+13 2.323741e+31 nan
1.130507e+13 2.341860e+31 nan
1.137250e+13 2.360123e+31 nan
1.144033e+13 2.378532e+31 nan
1.150856e+13 2.397087e+31 nan
1.157720e+13 2.415790e+31 nan
1.164625e+13 2.434642e+31 nan
1.171571e+13 2.453644e+31 nan
1.178559e+13 2.472797e+31 nan
1.185588e+13 2.492102e+31 nan
1.192660e+13 2.511562e+31 nan
1.199773e+13 2.531176e+31 nan
1.206929e+13 2.550946e+31 nan
1.214127e+13 2.570874e+31 nan
1.221369e+13 2.590960e+31 nan
1.228654e+13 2.611206e+31 nan
1.235982e+13 2.631614e+31 nan
1.243353e+13 2.652183e+31 nan
1.250769e+13 2.672917e+31 nan
1.258229e+13 2.693816e+31 nan
1.265734e+13 2.714881e+31 nan
1.273283e+13 2.736113e+31 nan
1.280877e+13 2.757515e+31 nan
1.288517e+13 2.779087e+31 nan
1.296202e+13 2.800831e+31 nan
1.303933e+13 2.822747e+31 nan
1.311710e+13 2.844839e+31 nan
1.319533e+13 2.867106e+31 nan
1.327404e+13 2.889550e+31 nan
1.335321e+13 2.912173e+31 nan
1.343285e+13 2.934977e+31 nan
1.351297e+13 2.957961e+31 nan
1.359356e+13 2.981129e+31 nan
1.367464e+13 3.004481e+31 nan
1.375620e+13 3.028019e+31 nan
1.383825e+13 3.051744e+31 nan
1.392078e+13 3.075658e+31 nan
1.400381e+13 3.099763e+31 nan
1.408733e+13 3.124059e+31 nan
1.417136e+13 3.148549e+31 nan
1.425588e+13 3.173234e+31 nan
1.434091e+13 3.198115e+31 nan
1.442644e+13 3.223195e+31 nan
1.451248e+13 3.248474e+31 nan
1.459904e+13 3.273954e+31 nan
1.468611e+13 3.299637e+31 nan
1.477371e+13 3.325525e+31 nan
1.486182e+13 3.351618e+31 nan
1.495046e+13 3.377919e+31 nan
1.503963e+13 3.404430e+31 nan
1.512933e+13 3.431152e+31 nan
1.521957e+13 3.458086e+31 nan
1.531035e+13 3.485235e+31 nan
